Timestamp,Temperature,ECG,GSR,Emotion
2025-03-30 14:26:46.712514,119.77250000000001,1.04635,0.5256125,Happy
2025-03-30 14:27:47.750513,56.00374999999999,1.2127625000000002,1.3654625,Happy
2025-03-30 14:28:48.791276,113.44875000000002,1.037775,0.9168750000000001,Happy
2025-03-30 14:29:49.822500,96.40375,1.1268125000000002,0.9843875000000001,Happy
2025-03-30 14:30:50.861189,52.51500000000001,1.1566500000000004,1.538125,Happy
2025-03-30 14:31:51.891853,117.21,1.0751000000000002,0.8667875,Happy
2025-03-30 14:32:52.923179,124.02500000000002,1.24065,0.6657749999999999,Happy
2025-03-30 14:33:53.962424,142.5,1.1065124999999998,0.5121125,Happy
2025-03-30 14:34:54.996860,71.66875000000002,1.2717749999999999,1.1863000000000001,Happy
2025-03-30 14:35:56.026736,86.85500000000002,1.2298125,1.01315,Happy
2025-03-30 14:36:57.065203,121.56375,0.971425,0.792975,Happy
2025-03-30 14:37:58.103512,100.41125000000001,0.9887750000000001,1.0450375,Happy
2025-03-30 14:38:59.129800,110.4775,0.9390000000000001,1.054675,Happy
2025-03-30 14:40:00.164346,112.1925,1.1766374999999998,0.8311624999999999,Happy
2025-03-30 14:41:01.203615,93.44624999999999,1.0968,1.169875,Happy
2025-03-30 14:42:02.236448,128.12125,1.1902625,0.750675,Happy
2025-03-30 14:43:03.267143,56.705000000000005,1.1190125,1.4362,Happy
2025-03-30 14:44:04.296668,92.62875000000001,0.9883,1.1168875,Happy
2025-03-30 14:45:05.335775,80.01500000000001,1.1799625,1.1939624999999998,Happy
2025-03-30 14:46:06.372306,91.78375000000001,0.832425,1.1510500000000001,Happy
2025-03-30 14:47:07.411669,84.04375,1.05415,0.9638375,Happy
2025-03-30 14:48:08.442419,90.43375,1.0320125,0.88195,Happy
2025-03-30 14:49:09.480596,99.84,0.9787625,0.9708,Happy
2025-03-30 14:50:10.509550,85.3075,1.1343999999999999,0.9914375,Happy
2025-03-30 14:51:11.543036,98.39375,1.000325,0.960625,Happy
2025-03-30 14:52:12.573480,74.09,1.155125,1.087725,Happy
2025-03-30 14:53:13.612001,98.36625000000001,1.055375,0.83385,Happy
2025-03-30 14:54:14.635698,52.33125,1.031575,1.3311125000000001,Happy
2025-03-30 14:55:15.666791,108.27875000000002,0.9292124999999999,0.8385125,Happy
2025-03-30 14:56:16.706176,108.2625,1.3982625,0.6325375000000001,Happy
2025-03-30 14:57:17.745962,49.8,0.9233500000000001,1.4429500000000002,Happy
